Average grade,Number of projects,Number of previous internships,Number of hackathons,Number of published research papers,Number of programming languages known,Did sports at university,Has previous google internship,University ranking,Number of programming competitions won,Number of programming competitions participated in,Hired
50.67596011841633,2,1,1,0,2,True,False,35,0,0,False
76.98451634200096,3,3,3,2,4,True,False,120,0,3,False
80.18805920420411,7,3,3,0,3,False,False,68,0,2,False
48.46967045236177,2,1,0,1,2,False,False,24,0,1,False
36.79816860339429,2,0,1,0,1,True,False,0,0,2,False
100.0,0,1,0,0,2,False,False,0,0,0,False
73.92179049748798,3,2,2,0,0,False,False,71,0,1,False
73.49245430415424,5,0,1,0,4,False,False,132,0,1,False
76.3851004290692,3,3,2,1,2,True,False,121,0,1,False
24.999826484948166,0,1,1,0,0,False,False,0,0,3,False
61.26471128792387,2,0,0,0,3,False,False,55,0,0,False
59.649822955795976,0,2,0,0,0,True,False,12,0,0,False
68.03604567899478,0,0,0,0,0,True,False,0,0,0,False
53.29191859500731,2,0,1,0,1,False,False,0,0,2,False
47.92956860180475,1,0,0,0,0,True,False,0,0,0,False
81.69712470157782,0,0,0,0,0,True,False,0,0,0,False
48.039427440404005,0,0,0,0,2,False,False,0,0,0,False
57.43292520180519,0,0,0,1,0,True,False,26,0,0,False
41.75664930090298,0,0,0,0,0,False,False,42,0,0,False
62.979850411778685,0,0,1,1,0,False,False,61,0,0,False
48.53454010013684,0,0,0,0,0,False,False,0,0,0,False
60.707550128851324,1,0,0,0,0,False,False,0,0,0,False
51.91814940428666,2,1,1,0,2,False,False,35,0,1,False
69.15984886853776,0,2,1,1,2,False,False,29,0,1,False
33.380576830197185,1,0,0,0,0,False,False,43,0,0,False
76.70087031186219,1,0,1,0,0,True,False,157,0,0,False
68.87201557686782,0,0,0,0,0,False,False,0,0,0,False
49.06654465323605,0,0,0,0,3,True,False,0,0,0,False
48.37134089528931,1,2,2,1,3,False,False,48,0,2,False
42.75378800032776,0,0,1,0,0,False,False,13,0,0,False
49.578315042833864,2,0,0,0,3,False,False,95,0,2,False
59.44202930409835,5,1,0,1,4,False,False,0,0,1,False
99.11887031665326,1,1,2,0,3,False,False,0,0,3,False
86.84156665232562,3,1,0,0,0,True,False,123,0,0,False
19.359251067016118,2,0,0,0,0,False,False,0,0,0,False
64.4739611342231,3,0,0,0,1,False,False,0,0,2,False
92.98548471311848,2,1,0,0,3,True,False,83,0,1,False
56.44857526097757,1,0,1,0,0,False,False,46,0,0,False
40.391362879931734,3,0,1,0,0,True,False,0,0,0,False
81.31873592560555,0,0,0,0,0,True,False,0,0,0,False
63.575317491823256,0,0,0,0,1,True,False,8,0,0,False
70.77522922183523,5,1,2,0,4,True,False,0,0,1,False
67.30168130838697,2,1,0,0,0,True,False,21,0,1,False
54.633836513524315,5,0,0,0,1,False,False,107,0,0,False
57.760995438144235,3,0,0,0,6,False,False,49,0,3,False
45.45268099950229,2,0,0,1,4,False,False,118,0,0,False
81.00693458529904,0,0,1,1,7,True,False,155,0,1,False
51.89130854679879,0,1,0,0,0,False,False,65,0,0,False
66.23142886546894,0,0,0,0,0,False,False,71,0,0,False
58.76336439221869,1,0,1,0,0,True,False,52,0,0,False
67.31099815327127,1,0,0,0,4,False,False,0,0,0,False
47.35427576753928,0,0,0,1,0,False,False,0,0,2,False
75.12050743411562,6,0,2,0,1,True,False,0,0,0,False
56.32963670744524,2,0,0,0,0,True,False,15,0,0,False
80.72748786769537,0,1,0,0,0,True,False,56,0,0,False
81.12143597850486,3,0,0,0,1,False,False,0,0,0,False
63.42505932387337,1,2,0,0,0,True,False,53,0,0,False
67.24983402984509,0,0,0,0,3,False,False,64,0,0,False
66.17605201702028,3,3,0,0,4,False,False,81,0,2,False
67.69203631419313,1,0,0,0,0,False,False,120,0,0,False
61.75873811948433,6,1,0,0,2,False,False,38,0,3,False
58.88474057278506,0,0,1,0,1,True,False,0,0,0,False
59.12432979497358,1,0,0,1,0,False,False,0,0,0,False
64.78996583734501,1,0,0,0,4,False,False,0,0,0,False
38.8048938206858,2,0,1,1,3,True,False,31,0,0,False
64.21349805860503,0,0,1,0,0,False,False,20,0,0,False
58.894956584303785,1,1,0,0,0,True,False,82,0,0,False
74.64409710583429,3,1,0,0,0,False,False,20,0,0,False
95.10851163385972,0,1,0,0,1,False,False,77,0,2,False
49.205205915704255,0,0,0,0,0,False,False,0,0,1,False
38.199790781147485,1,0,1,0,4,False,False,36,0,1,False
78.47655065673797,0,0,0,0,1,True,False,62,0,0,False
32.32671894026396,0,0,0,0,0,False,False,0,0,0,False
63.26618633366297,0,1,1,1,1,False,False,0,0,1,False
53.95705805074077,1,0,0,0,4,False,False,36,0,0,False
43.86588180803436,1,0,0,0,1,False,False,111,0,0,False
66.59007471715802,4,0,0,1,0,False,False,0,0,0,False
36.99001270354711,3,0,0,0,0,False,False,0,0,0,False
35.22119067745933,4,1,1,0,0,False,False,7,0,0,False
80.5883212279396,3,2,0,0,3,False,False,29,0,0,False
41.212868199836855,6,3,3,0,3,False,False,70,0,2,False
87.04382853244587,1,0,0,0,0,True,False,0,0,1,False
35.297449342399034,0,0,1,0,1,False,False,0,0,0,False
82.267583012776,0,0,0,1,3,False,False,0,0,1,False
74.03744758153302,0,0,0,0,1,True,False,0,0,0,False
50.580621321489076,0,0,0,0,0,False,False,2,0,0,False
52.10766566469265,0,0,0,0,1,False,False,20,0,1,False
43.67999474628104,5,1,0,0,0,False,False,84,0,0,False
47.632010931366416,0,0,1,0,0,False,False,51,0,0,False
65.85406990257663,7,2,3,0,8,True,False,144,0,4,False
48.48930119019377,4,3,2,1,5,True,False,52,0,0,False
79.90311563134142,0,0,0,0,0,True,False,13,0,0,False
79.40813820125952,5,3,2,1,0,True,False,18,0,2,False
54.02380783684167,0,1,0,0,0,False,False,0,0,1,False
77.84850575127264,2,0,1,0,4,True,False,0,0,0,False
76.07566879506295,0,0,0,0,0,False,False,15,0,0,False
76.12497930058318,0,0,1,1,1,False,False,0,0,0,False
67.06671853955439,3,0,1,0,4,False,False,70,0,1,False
95.91139435241061,0,0,0,0,0,True,False,70,0,1,False
69.88964976162568,3,0,0,0,3,False,False,87,0,2,False
93.84169444094573,1,0,0,0,2,False,False,29,0,0,False
66.5371291646541,4,0,1,0,1,True,False,89,0,0,False
57.39413097755926,2,0,0,0,0,True,False,0,0,0,False
83.81815408447105,0,0,1,0,0,False,False,27,0,0,False
72.72540630690442,0,0,0,1,0,True,False,48,0,2,False
67.44041792236465,0,0,0,0,2,False,False,19,0,0,False
80.53902453122456,0,1,0,0,0,True,False,38,0,0,False
69.74532170770894,0,0,0,0,5,False,False,0,0,0,False
61.83936782926367,0,0,1,0,3,True,False,36,0,3,False
62.83193906060634,1,0,0,0,0,False,False,0,0,0,False
50.79897427196528,0,0,1,0,0,False,False,139,0,0,False
47.44046741535982,1,0,1,0,2,False,False,0,0,0,False
64.69853290360241,0,0,0,0,0,False,False,0,0,0,False
63.747898991363314,6,3,4,0,8,True,False,177,0,2,False
53.750948480481505,3,2,1,1,1,False,False,111,0,1,False
57.25981713096799,0,0,1,0,0,False,False,0,0,0,False
64.67452213803469,0,0,0,0,0,True,False,0,0,0,False
32.9427337949498,0,0,1,2,0,True,False,8,0,0,False
56.161342549072586,8,0,3,0,5,True,False,145,0,2,False
31.86057210908589,0,0,0,0,2,False,False,93,0,2,False
55.10225129822217,3,0,2,0,2,True,False,31,0,0,False
73.97964418554156,1,1,2,1,5,False,False,44,0,0,False
62.99964115755352,0,0,1,2,4,True,False,106,0,1,False
63.08344417457911,1,0,0,0,0,True,False,0,0,1,False
64.13973323663025,0,0,0,0,1,False,False,0,0,0,False
84.07471441336273,6,3,3,0,6,False,False,69,0,4,True
